sqft,bedrooms,bathrooms,age,price
1360,2,4,18,7901003.888740663
4272,3,4,29,19424825.133517954
3592,1,4,13,16135942.764818406
966,1,4,19,5382369.766592025
4926,2,4,48,22067755.958288103
3944,5,1,24,19171202.71908808
3671,1,3,39,16354260.047254082
3419,1,2,23,15609865.826239971
630,3,4,13,6555979.428058558
2185,4,2,25,11543866.734587442
1269,2,1,37,6839238.738619209
2891,2,4,22,13534192.246297061
2933,5,3,21,16401354.873131676
1684,5,2,47,9273584.38089092
3885,2,4,18,18024959.44047978
4617,5,1,45,21069145.243133456
3404,3,3,2,16212864.501638893
974,2,2,41,5692287.788704281
1582,5,2,18,10174951.934100742
3058,2,4,8,15177293.164509226
2547,4,3,27,12777876.183984462
3247,1,3,19,15999693.117425855
1475,2,3,44,8194615.398250824
2306,1,3,6,12821111.021824978
689,5,1,13,5893445.380056853
3234,1,3,8,15654941.114088489
3505,2,2,18,16649636.943697082
2399,4,2,46,12130712.44845132
1767,5,1,13,11313525.450529613
2028,2,2,37,9769294.996193111
3702,5,2,35,18027554.290287696
4056,3,3,39,17108285.05403081
4390,1,2,16,19544514.02687132
1146,3,1,29,6141245.044158797
3388,2,3,8,16016639.402152244
2935,4,4,32,14786890.180627486
1100,5,3,24,8136884.230340869
2863,1,1,13,13213940.115108717
2561,5,3,10,14449570.781524379
741,2,3,34,5538820.645252904
2541,5,1,40,13796814.767792815
3324,1,3,13,15251602.031661082
3112,2,1,29,13928716.378991943
1863,5,1,40,10930863.826831006
1978,4,4,3,12570523.644369965
3056,2,2,3,15134295.434051523
1275,2,2,27,6683910.596630326
4514,4,3,7,22027327.5327508
534,3,3,1,5570735.302023645
3652,1,4,40,17034264.47067483
2455,3,4,45,12333563.955231126
2085,5,4,21,11786694.854425043
4443,4,1,40,20617118.400190137
3573,3,4,15,16412815.808371449
1521,2,4,28,8358243.298051835
3961,5,3,48,18772402.244340852
3113,5,4,47,15697032.664547127
4343,3,1,29,19217484.264522452
2000,3,1,11,11188686.784875816
661,4,3,34,6274277.709503187
4797,1,4,10,21562134.659003746
2481,3,4,45,13290811.735929525
1495,3,1,49,7268851.422416813
3842,2,4,20,17568858.30712642
4298,5,4,20,21923798.329623297
1775,1,4,4,10009821.614661323
1516,2,2,47,7493868.299208338
837,4,3,19,6300269.553150935
1378,4,2,36,9121865.93751897
1576,3,3,2,8803948.72452609
4493,3,1,43,19612787.03232822
879,4,4,32,7190288.263758949
992,3,3,8,8109082.404215723
2562,1,2,8,12379550.10603661
4384,3,4,3,21416152.32650665
564,5,1,34,5091308.149925936
3068,3,3,16,15636240.1126373
2527,2,3,33,12400654.660439543
3195,1,3,23,13925767.72979122
1995,2,4,31,10956467.426746553
891,2,2,0,6649196.694923426
4974,5,2,7,24257682.524410583
4061,1,3,44,17780663.9628329
2778,1,1,22,11993911.558425177
3599,1,1,46,14121408.134357568
700,1,2,39,4198526.802700725
3604,1,1,11,16536971.029870424
2954,5,2,11,16193766.234541541
